Experimental EA_x,Experimental EA_y,FK Fit Result_x,FK Fit Result_y,FK Fit Result_x,FK Fit Result_y
2.2710622711,0.0018608704,2.2710622711,0.0026065633,2.2710622711,0.0026065633
2.2627737226,-0.0042425067,2.2627737226,-0.0019421348,2.2627737226,-0.0019421348
2.2545454545,-0.00993636,2.2545454545,-0.0044549453,2.2545454545,-0.0044549453
2.2463768116,-0.0151570239,2.2463768116,-0.0080482130,2.2463768116,-0.0080482130
2.2382671480,-0.0194480124,2.2382671480,-0.0129532203,2.2382671480,-0.0129532203
2.2302158273,-0.0219573474,2.2302158273,-0.0162919978,2.2302158273,-0.0162919978
2.2222222222,-0.0223513847,2.2222222222,-0.0184098969,2.2222222222,-0.0184098969
2.2142857143,-0.0204552663,2.2142857143,-0.0207752494,2.2142857143,-0.0207752494
2.206405694,-0.0158801818,2.206405694,-0.0210191624,2.206405694,-0.0210191624
2.1985815603,-0.0083814532,2.1985815603,-0.0143243108,2.1985815603,-0.0143243108
2.1908127208,0.0012766912,2.1908127208,-0.0019364936,2.1908127208,-0.0019364936
2.1830985915,0.0109580736,2.1830985915,0.0098620566,2.1830985915,0.0098620566
2.1754385965,0.0193862188,2.1754385965,0.0197871414,2.1754385965,0.0197871414
2.1678321678,0.0252441065,2.1678321678,0.0260660384,2.1678321678,0.0260660384
2.1602787456,0.0273946302,2.1602787456,0.0256216702,2.1602787456,0.0256216702
2.1527777778,0.0262430032,2.1527777778,0.0198384095,2.1527777778,0.0198384095
2.1453287197,0.0223552597,2.1453287197,0.0107279661,2.1453287197,0.0107279661
2.1379310345,0.0171500762,2.1379310345,0.0004378788,2.1379310345,0.0004378788
2.1305841924,0.0118705255,2.1305841924,-0.0073564385,2.1305841924,-0.0073564385
2.1232876712,0.0078536929,2.1232876712,-0.0094357359,2.1232876712,-0.0094357359
2.1160409556,0.0051477667,2.1160409556,-0.0077114335,2.1160409556,-0.0077114335
2.1088435374,0.0033719995,2.1088435374,-0.0058166968,2.1088435374,-0.0058166968
2.1016949153,0.0023573736,2.1016949153,-0.0034210379,2.1016949153,-0.0034210379
2.0945945946,0.0018552221,2.0945945946,-0.001103473,2.0945945946,-0.001103473
2.0875420875,0.0013099959,2.0875420875,-0.0012346548,2.0875420875,-0.0012346548
2.0805369128,0.000901257,2.0805369128,-0.0016426921,2.0805369128,-0.0016426921
2.0735785953,0.0008928534,2.0735785953,-0.0000731133,2.0735785953,-0.0000731133
2.0666666667,0.0007841109,2.0666666667,0.0005051910,2.0666666667,0.0005051910
2.0598006645,0.0005125185,2.0598006645,-0.0005014814,2.0598006645,-0.0005014814
2.0529801325,0.0004103378,2.0529801325,-0.0007411971,2.0529801325,-0.0007411971
2.0462046205,0.0003884298,2.0462046205,-0.0008400393,2.0462046205,-0.0008400393
2.0394736842,0.0004142925,2.0394736842,-0.0012279958,2.0394736842,-0.0012279958
2.0327868852,0.000692268,2.0327868852,-0.0001310467,2.0327868852,-0.0001310467
2.0261437908,0.0010429995,2.0261437908,0.0012019459,2.0261437908,0.0012019459
2.0195439739,0.0010613022,2.0195439739,0.0006602461,2.0195439739,0.0006602461
2.012987013,0.0010588732,2.012987013,0.0004262371,2.012987013,0.0004262371
2.0064724919,0.0010942900,2.0064724919,0.0005790605,2.0064724919,0.0005790605
2.,0.0008576575,2.,0.0001065269,2.,0.0001065269
1.9935691318,0.0008327527,1.9935691318,0.0004361837,1.9935691318,0.0004361837
1.9871794872,0.0006025946,1.9871794872,0.0002384888,1.9871794872,0.0002384888
1.9808306709,0.000349403,1.9808306709,-0.0013841621,1.9808306709,-0.0013841621
1.974522293,0.0002272506,1.974522293,-0.0017730076,1.974522293,-0.0017730076
1.9682539683,0.0005720256,1.9682539683,0.0003970117,1.9682539683,0.0003970117
1.9620253165,0.0007540303,1.9620253165,0.0017834216,1.9620253165,0.0017834216
1.9558359621,0.0005907578,1.9558359621,0.0008879653,1.9558359621,0.0008879653
1.9496855346,0.0003724238,1.9496855346,-0.0000690684,1.9496855346,-0.0000690684
1.9435736677,0.0001583234,1.9435736677,-0.0004332925,1.9435736677,-0.0004332925
1.9375,0.0000269547,1.9375,-0.0004572001,1.9375,-0.0004572001
1.9314641745,-0.0000528656,1.9314641745,-0.0003902365,1.9314641745,-0.0003902365
1.9254658385,-0.0000853988,1.9254658385,-0.0004142860,1.9254658385,-0.0004142860
1.919504644,-0.0000651781,1.919504644,-0.0004575897,1.919504644,-0.0004575897
1.9135802469,0.0000132629,1.9135802469,-0.0003651528,1.9135802469,-0.0003651528
1.9076923077,0.0001553910,1.9076923077,-0.0002510149,1.9076923077,-0.0002510149
