Data R1_x,Data R1_y,Fit R1 (k=1.91)_x,Fit R1 (k=1.91)_y,Data R2_x,Data R2_y,Fit R2 (k=1.71)_x,Fit R2 (k=1.71)_y,Data R3_x,Data R3_y,Fit R3 (k=1.73)_x,Fit R3 (k=1.73)_y,Data R4_x,Data R4_y,Fit R4 (k=1.75)_x,Fit R4 (k=1.75)_y,Data R5_x,Data R5_y,Fit R5 (k=1.83)_x,Fit R5 (k=1.83)_y
,,25.5555555556,0.6705877281,,,25.5555555556,0.0563830507,,,25.5555555556,1.1483348422,,,25.5555555556,1.2384823032,,,25.5555555556,0.1721251094
,,26.0606060606,0.6961607658,,,26.0606060606,0.0583053088,,,26.0606060606,1.1877904846,,,26.0606060606,1.281578809,,,26.0606060606,0.1784015275
,,26.5656565657,0.7221900335,,,26.5656565657,0.0602543156,,,26.5656565657,1.2278053606,,,26.5656565657,1.3253045160,,,26.5656565657,0.1847797357
,,27.0707070707,0.7486747647,,,27.0707070707,0.0622299243,,,27.0707070707,1.2683765386,,,27.0707070707,1.3696563864,,,27.0707070707,0.1912594026
,,27.5757575758,0.7756142088,,,27.5757575758,0.0642319914,,,27.5757575758,1.3095011573,,,27.5757575758,1.4146314539,,,27.5757575758,0.1978402039
,,28.0808080808,0.8030076300,,,28.0808080808,0.0662603770,,,28.0808080808,1.3511764225,,,28.0808080808,1.4602268206,,,28.0808080808,0.2045218226
,,28.5858585859,0.8308543073,,,28.5858585859,0.0683149444,,,28.5858585859,1.3933996044,,,28.5858585859,1.5064396544,,,28.5858585859,0.2113039482
,,29.0909090909,0.8591535334,,,29.0909090909,0.0703955599,,,29.0909090909,1.4361680353,,,29.0909090909,1.5532671861,,,29.0909090909,0.2181862768
,,29.595959596,0.8879046147,,,29.595959596,0.0725020930,,,29.595959596,1.4794791065,,,29.595959596,1.6007067075,,,29.595959596,0.2251685106
,,30.1010101010,0.9171068704,,,30.1010101010,0.074634416,,,30.1010101010,1.5233302668,,,30.1010101010,1.6487555681,,,30.1010101010,0.2322503579
,,30.6060606061,0.9467596324,,,30.6060606061,0.0767924039,,,30.6060606061,1.5677190195,,,30.6060606061,1.697411174,,,30.6060606061,0.2394315326
,,31.1111111111,0.9768622444,,,31.1111111111,0.0789759345,,,31.1111111111,1.6126429209,,,31.1111111111,1.7466709848,,,31.1111111111,0.2467117544
,,31.6161616162,1.007414062,,,31.6161616162,0.0811848882,,,31.6161616162,1.6580995780,,,31.6161616162,1.7965325123,,,31.6161616162,0.2540907483
,,32.1212121212,1.0384144521,,,32.1212121212,0.0834191476,,,32.1212121212,1.7040866470,,,32.1212121212,1.8469933184,,,32.1212121212,0.2615682442
,,32.6262626263,1.0698627924,,,32.6262626263,0.0856785980,,,32.6262626263,1.7506018311,,,32.6262626263,1.898051013,,,32.6262626263,0.2691439774
,,33.1313131313,1.1017584712,,,33.1313131313,0.0879631269,,,33.1313131313,1.7976428792,,,33.1313131313,1.9497032529,,,33.1313131313,0.2768176878
,,33.6363636364,1.1341008869,,,33.6363636364,0.0902726238,,,33.6363636364,1.8452075841,,,33.6363636364,2.0019477398,,,33.6363636364,0.2845891199
,,34.1414141414,1.1668894481,,,34.1414141414,0.0926069808,,,34.1414141414,1.8932937809,,,34.1414141414,2.0547822188,,,34.1414141414,0.292458023
,,34.6464646465,1.2001235725,,,34.6464646465,0.0949660916,,,34.6464646465,1.9418993461,,,34.6464646465,2.1082044772,,,34.6464646465,0.3004241504
,,35.1515151515,1.2338026876,,,35.1515151515,0.0973498523,,,35.1515151515,1.9910221954,,,35.1515151515,2.1622123425,,,35.1515151515,0.3084872600
,,35.6565656566,1.2679262296,,,35.6565656566,0.0997581606,,,35.6565656566,2.0406602832,,,35.6565656566,2.2168036820,,,35.6565656566,0.3166471135
,,36.1616161616,1.3024936435,,,36.1616161616,0.1021909162,,,36.1616161616,2.0908116008,,,36.1616161616,2.2719764007,,,36.1616161616,0.3249034768
,,36.6666666667,1.3375043828,,,36.6666666667,0.1046480207,,,36.6666666667,2.1414741756,,,36.6666666667,2.3277284405,,,36.6666666667,0.3332561194
,,37.1717171717,1.3729579093,,,37.1717171717,0.1071293774,,,37.1717171717,2.1926460695,,,37.1717171717,2.3840577790,,,37.1717171717,0.3417048148
,,37.6767676768,1.4088536927,,,37.6767676768,0.1096348912,,,37.6767676768,2.2443253784,,,37.6767676768,2.4409624285,,,37.6767676768,0.35024934
,,38.1818181818,1.4451912105,,,38.1818181818,0.1121644687,,,38.1818181818,2.2965102307,,,38.1818181818,2.4984404346,,,38.1818181818,0.3588894754
,,38.6868686869,1.4819699478,,,38.6868686869,0.1147180183,,,38.6868686869,2.3491987867,,,38.6868686869,2.5564898757,,,38.6868686869,0.3676250050
,,39.1919191919,1.5191893970,,,39.1919191919,0.1172954496,,,39.1919191919,2.4023892371,,,39.1919191919,2.6151088615,,,39.1919191919,0.3764557161
,,39.696969697,1.5568490578,,,39.696969697,0.1198966740,,,39.696969697,2.4560798027,,,39.696969697,2.6742955325,,,39.696969697,0.3853813991
,,40.2020202020,1.5949484367,,,40.2020202020,0.1225216042,,,40.2020202020,2.5102687333,,,40.2020202020,2.734048059,,,40.2020202020,0.3944018476
,,40.7070707071,1.6334870471,,,40.7070707071,0.1251701543,,,40.7070707071,2.5649543066,,,40.7070707071,2.7943646401,,,40.7070707071,0.4035168582
