Data R1_x,Data R1_y,Fit R1 (k=1.91)_x,Fit R1 (k=1.91)_y,Data R2_x,Data R2_y,Fit R2 (k=1.71)_x,Fit R2 (k=1.71)_y,Data R3_x,Data R3_y,Fit R3 (k=1.73)_x,Fit R3 (k=1.73)_y,Data R4_x,Data R4_y,Fit R4 (k=1.75)_x,Fit R4 (k=1.75)_y,Data R5_x,Data R5_y,Fit R5 (k=1.80)_x,Fit R5 (k=1.80)_y
,,26.0606060606,0.6961607658,,,26.0606060606,0.0583053088,,,26.0606060606,1.1769671848,,,26.0606060606,1.2783520897,,,26.0606060606,0.1808619072
,,26.5656565657,0.7221900335,,,26.5656565657,0.0602543156,,,26.5656565657,1.2167567604,,,26.5656565657,1.3219842755,,,26.5656565657,0.1872148388
,,27.0707070707,0.7486747647,,,27.0707070707,0.0622299243,,,27.0707070707,1.2571040817,,,27.0707070707,1.366241835,,,27.0707070707,0.1936649627
,,27.5757575758,0.7756142088,,,27.5757575758,0.0642319914,,,27.5757575758,1.2980063422,,,27.5757575758,1.4111218131,,,27.5757575758,0.2002119108
,,28.0808080808,0.8030076300,,,28.0808080808,0.0662603770,,,28.0808080808,1.3394608011,,,28.0808080808,1.4566213231,,,28.0808080808,0.2068553234
,,28.5858585859,0.8308543073,,,28.5858585859,0.0683149444,,,28.5858585859,1.3814647805,,,28.5858585859,1.5027375437,,,28.5858585859,0.2135948484
,,29.0909090909,0.8591535334,,,29.0909090909,0.0703955599,,,29.0909090909,1.4240156629,,,29.0909090909,1.5494677164,,,29.0909090909,0.2204301415
,,29.595959596,0.8879046147,,,29.595959596,0.0725020930,,,29.595959596,1.4671108886,,,29.595959596,1.5968091429,,,29.595959596,0.2273608653
,,30.1010101010,0.9171068704,,,30.1010101010,0.074634416,,,30.1010101010,1.5107479540,,,30.1010101010,1.6447591832,,,30.1010101010,0.2343866896
,,30.6060606061,0.9467596324,,,30.6060606061,0.0767924039,,,30.6060606061,1.5549244089,,,30.6060606061,1.6933152528,,,30.6060606061,0.2415072909
,,31.1111111111,0.9768622444,,,31.1111111111,0.0789759345,,,31.1111111111,1.5996378545,,,31.1111111111,1.7424748211,,,31.1111111111,0.2487223519
,,31.6161616162,1.007414062,,,31.6161616162,0.0811848882,,,31.6161616162,1.6448859421,,,31.6161616162,1.7922354090,,,31.6161616162,0.2560315619
,,32.1212121212,1.0384144521,,,32.1212121212,0.0834191476,,,32.1212121212,1.6906663704,,,32.1212121212,1.8425945877,,,32.1212121212,0.2634346160
,,32.6262626263,1.0698627924,,,32.6262626263,0.0856785980,,,32.6262626263,1.7369768845,,,32.6262626263,1.893549976,,,32.6262626263,0.2709312151
,,33.1313131313,1.1017584712,,,33.1313131313,0.0879631269,,,33.1313131313,1.7838152741,,,33.1313131313,1.9450992394,,,33.1313131313,0.2785210657
,,33.6363636364,1.1341008869,,,33.6363636364,0.0902726238,,,33.6363636364,1.8311793716,,,33.6363636364,1.9972400880,,,33.6363636364,0.2862038797
,,34.1414141414,1.1668894481,,,34.1414141414,0.0926069808,,,34.1414141414,1.8790670510,,,34.1414141414,2.0499702755,,,34.1414141414,0.2939793743
,,34.6464646465,1.2001235725,,,34.6464646465,0.0949660916,,,34.6464646465,1.9274762266,,,34.6464646465,2.1032875970,,,34.6464646465,0.3018472717
,,35.1515151515,1.2338026876,,,35.1515151515,0.0973498523,,,35.1515151515,1.9764048511,,,35.1515151515,2.1571898884,,,35.1515151515,0.309807299
,,35.6565656566,1.2679262296,,,35.6565656566,0.0997581606,,,35.6565656566,2.025850915,,,35.6565656566,2.2116750246,,,35.6565656566,0.3178591880
,,36.1616161616,1.3024936435,,,36.1616161616,0.1021909162,,,36.1616161616,2.0758124449,,,36.1616161616,2.2667409183,,,36.1616161616,0.3260026753
,,36.6666666667,1.3375043828,,,36.6666666667,0.1046480207,,,36.6666666667,2.1262875025,,,36.6666666667,2.3223855189,,,36.6666666667,0.3342375016
,,37.1717171717,1.3729579093,,,37.1717171717,0.1071293774,,,37.1717171717,2.1772741838,,,37.1717171717,2.3786068114,,,37.1717171717,0.3425634121
,,37.6767676768,1.4088536927,,,37.6767676768,0.1096348912,,,37.6767676768,2.2287706174,,,37.6767676768,2.4354028153,,,37.6767676768,0.3509801564
,,38.1818181818,1.4451912105,,,38.1818181818,0.1121644687,,,38.1818181818,2.2807749641,,,38.1818181818,2.4927715833,,,38.1818181818,0.3594874876
,,38.6868686869,1.4819699478,,,38.6868686869,0.1147180183,,,38.6868686869,2.3332854156,,,38.6868686869,2.5507112007,,,38.6868686869,0.3680851634
