Data R1_x,Data R1_y,Fit R1 (k=1.91)_x,Fit R1 (k=1.91)_y,Data R2_x,Data R2_y,Fit R2 (k=1.70)_x,Fit R2 (k=1.70)_y,Data R3_x,Data R3_y,Fit R3 (k=1.73)_x,Fit R3 (k=1.73)_y,Data R4_x,Data R4_y,Fit R4 (k=1.73)_x,Fit R4 (k=1.73)_y,Data R5_x,Data R5_y,Fit R5 (k=1.81)_x,Fit R5 (k=1.81)_y
,,35.1515151515,1.2338026876,,,35.1515151515,0.0977109682,,,35.1515151515,1.9876630650,,,35.1515151515,2.1704908564,,,35.1515151515,0.3111915626
,,35.6565656566,1.2679262296,,,35.6565656566,0.1001146968,,,35.6565656566,2.0374344651,,,35.6565656566,2.224796596,,,35.6565656566,0.3193114458
,,36.1616161616,1.3024936435,,,36.1616161616,0.1025425009,,,36.1616161616,2.0877257932,,,36.1616161616,2.2796685606,,,36.1616161616,0.3275245183
,,36.6666666667,1.3375043828,,,36.6666666667,0.1049942804,,,36.6666666667,2.1385351053,,,36.6666666667,2.3351046222,,,36.6666666667,0.3358305258
,,37.1717171717,1.3729579093,,,37.1717171717,0.1074699367,,,37.1717171717,2.1898604913,,,37.1717171717,2.3911026901,,,37.1717171717,0.3442292179
,,37.6767676768,1.4088536927,,,37.6767676768,0.1099693734,,,37.6767676768,2.2417000745,,,37.6767676768,2.4476607097,,,37.6767676768,0.3527203487
,,38.1818181818,1.4451912105,,,38.1818181818,0.1124924955,,,38.1818181818,2.2940520098,,,38.1818181818,2.5047766616,,,38.1818181818,0.3613036758
,,38.6868686869,1.4819699478,,,38.6868686869,0.1150392097,,,38.6868686869,2.3469144834,,,38.6868686869,2.5624485603,,,38.6868686869,0.3699789610
,,39.1919191919,1.5191893970,,,39.1919191919,0.1176094242,,,39.1919191919,2.4002857115,,,39.1919191919,2.6206744535,,,39.1919191919,0.3787459697
,,39.696969697,1.5568490578,,,39.696969697,0.1202030489,,,39.696969697,2.4541639398,,,39.696969697,2.6794524209,,,39.696969697,0.3876044709
,,40.2020202020,1.5949484367,,,40.2020202020,0.1228199951,,,40.2020202020,2.5085474421,,,40.2020202020,2.7387805731,,,40.2020202020,0.3965542372
,,40.7070707071,1.6334870471,,,40.7070707071,0.1254601756,,,40.7070707071,2.5634345199,,,40.7070707071,2.7986570513,,,40.7070707071,0.4055950445
,,41.2121212121,1.6724644089,,,41.2121212121,0.1281235045,,,41.2121212121,2.6188235017,,,41.2121212121,2.8590800257,,,41.2121212121,0.4147266723
,,41.7171717172,1.7118800485,,,41.7171717172,0.1308098974,,,41.7171717172,2.6747127416,,,41.7171717172,2.9200476954,,,41.7171717172,0.423948903
,,42.2222222222,1.7517334986,,,42.2222222222,0.1335192712,,,42.2222222222,2.7311006196,,,42.2222222222,2.981558287,,,42.2222222222,0.4332615224
,,42.7272727273,1.7920242978,,,42.7272727273,0.136251544,,,42.7272727273,2.78798554,,,42.7272727273,3.0436100541,,,42.7272727273,0.4426643194
,,43.2323232323,1.8327519911,,,43.2323232323,0.1390066352,,,43.2323232323,2.8453659311,,,43.2323232323,3.106201277,,,43.2323232323,0.4521570857
,,43.7373737374,1.8739161288,,,43.7373737374,0.1417844656,,,43.7373737374,2.9032402446,,,43.7373737374,3.169330261,,,43.7373737374,0.4617396161
,,44.2424242424,1.9155162672,,,44.2424242424,0.1445849570,,,44.2424242424,2.9616069551,,,44.2424242424,3.2329953367,,,44.2424242424,0.4714117081
,,44.7474747475,1.9575519682,,,44.7474747475,0.1474080324,,,44.7474747475,3.0204645592,,,44.7474747475,3.2971948588,,,44.7474747475,0.4811731622
,,45.2525252525,2.0000227988,,,45.2525252525,0.1502536159,,,45.2525252525,3.079811575,,,45.2525252525,3.3619272058,,,45.2525252525,0.4910237812
,,45.7575757576,2.0429283315,,,45.7575757576,0.1531216327,,,45.7575757576,3.1396465417,,,45.7575757576,3.4271907790,,,45.7575757576,0.5009633710
,,46.2626262626,2.0862681439,,,46.2626262626,0.1560120093,,,46.2626262626,3.1999680191,,,46.2626262626,3.4929840024,,,46.2626262626,0.5109917398
,,46.7676767677,2.1300418186,,,46.7676767677,0.1589246729,,,46.7676767677,3.2607745869,,,46.7676767677,3.5593053218,,,46.7676767677,0.5211086983
,,47.2727272727,2.1742489433,,,47.2727272727,0.1618595519,,,47.2727272727,3.3220648443,,,47.2727272727,3.6261532042,,,47.2727272727,0.5313140598
,,47.7777777778,2.2188891104,,,47.7777777778,0.1648165757,,,47.7777777778,3.3838374096,,,47.7777777778,3.6935261377,,,47.7777777778,0.5416076399
,,48.2828282828,2.2639619168,,,48.2828282828,0.1677956747,,,48.2828282828,3.4460909195,,,48.2828282828,3.7614226307,,,48.2828282828,0.5519892566
,,48.7878787879,2.3094669644,,,48.7878787879,0.1707967802,,,48.7878787879,3.508824029,,,48.7878787879,3.8298412114,,,48.7878787879,0.5624587301
,,49.2929292929,2.3554038594,,,49.2929292929,0.1738198244,,,49.2929292929,3.5720354107,,,49.2929292929,3.8987804272,,,49.2929292929,0.5730158828
,,49.797979798,2.4017722123,,,49.797979798,0.1768647404,,,49.797979798,3.6357237546,,,49.797979798,3.9682388449,,,49.797979798,0.5836605394
,,50.3030303030,2.4485716381,,,50.3030303030,0.1799314622,,,50.3030303030,3.6998877674,,,50.3030303030,4.0382150493,,,50.3030303030,0.5943925267
,,50.8080808081,2.495801756,,,50.8080808081,0.1830199247,,,50.8080808081,3.7645261726,,,50.8080808081,4.1087076436,,,50.8080808081,0.6052116736
,,51.3131313131,2.5434621892,,,51.3131313131,0.1861300637,,,51.3131313131,3.8296377095,,,51.3131313131,4.1797152485,,,51.3131313131,0.6161178110
,,51.8181818182,2.5915525652,,,51.8181818182,0.1892618156,,,51.8181818182,3.8952211334,,,51.8181818182,4.2512365021,,,51.8181818182,0.6271107718
,,52.3232323232,2.6400725152,,,52.3232323232,0.1924151179,,,52.3232323232,3.9612752148,,,52.3232323232,4.3232700594,,,52.3232323232,0.6381903908
,,52.8282828283,2.6890216744,,,52.8282828283,0.1955899085,,,52.8282828283,4.0277987396,,,52.8282828283,4.3958145918,,,52.8282828283,0.6493565049
,,53.3333333333,2.7383996818,,,53.3333333333,0.1987861265,,,53.3333333333,4.0947905082,,,53.3333333333,4.4688687868,,,53.3333333333,0.6606089526
,,53.8383838384,2.7882061803,,,53.8383838384,0.2020037115,,,53.8383838384,4.1622493355,,,53.8383838384,4.542431348,,,53.8383838384,0.6719475744
,,54.3434343434,2.8384408161,,,54.3434343434,0.2052426039,,,54.3434343434,4.2301740505,,,54.3434343434,4.6165009941,,,54.3434343434,0.6833722127
,,54.8484848485,2.8891032393,,,54.8484848485,0.2085027448,,,54.8484848485,4.2985634962,,,54.8484848485,4.6910764593,,,54.8484848485,0.6948827114
,,55.3535353535,2.9401931035,,,55.3535353535,0.2117840759,,,55.3535353535,4.3674165288,,,55.3535353535,4.7661564924,,,55.3535353535,0.7064789163
,,55.8585858586,2.9917100655,,,55.8585858586,0.2150865399,,,55.8585858586,4.4367320181,,,55.8585858586,4.8417398568,,,55.8585858586,0.7181606748
,,56.3636363636,3.0436537858,,,56.3636363636,0.2184100798,,,56.3636363636,4.5065088467,,,56.3636363636,4.9178253301,,,56.3636363636,0.729927836
,,56.8686868687,3.096023928,,,56.8686868687,0.2217546396,,,56.8686868687,4.5767459100,,,56.8686868687,4.9944117038,,,56.8686868687,0.7417802506
,,57.3737373737,3.1488201590,,,57.3737373737,0.2251201637,,,57.3737373737,4.6474421158,,,57.3737373737,5.0714977832,,,57.3737373737,0.7537177709
,,57.8787878788,3.2020421491,,,57.8787878788,0.2285065973,,,57.8787878788,4.7185963842,,,57.8787878788,5.1490823868,,,57.8787878788,0.7657402508
,,58.3838383838,3.2556895715,,,58.3838383838,0.2319138861,,,58.3838383838,4.7902076472,,,58.3838383838,5.2271643463,,,58.3838383838,0.7778475457
,,58.8888888889,3.3097621025,,,58.8888888889,0.2353419764,,,58.8888888889,4.8622748484,,,58.8888888889,5.3057425062,,,58.8888888889,0.7900395124
,,59.3939393939,3.3642594216,,,59.3939393939,0.2387908153,,,59.3939393939,4.9347969433,,,59.3939393939,5.3848157237,,,59.3939393939,0.8023160093
,,59.898989899,3.4191812112,,,59.898989899,0.2422603502,,,59.898989899,5.0077728983,,,59.898989899,5.4643828682,,,59.898989899,0.8146768962
,,60.4040404040,3.4745271565,,,60.4040404040,0.2457505293,,,60.4040404040,5.0812016911,,,60.4040404040,5.5444428213,,,60.4040404040,0.8271220343
,,60.9090909091,3.5302969458,,,60.9090909091,0.2492613013,,,60.9090909091,5.1550823102,,,60.9090909091,5.6249944767,,,60.9090909091,0.8396512863
,,61.4141414141,3.58649027,,,61.4141414141,0.2527926154,,,61.4141414141,5.2294137546,,,61.4141414141,5.7060367394,,,61.4141414141,0.8522645160
,,61.9191919192,3.6431068229,,,61.9191919192,0.2563444214,,,61.9191919192,5.304195034,,,61.9191919192,5.7875685261,,,61.9191919192,0.8649615889
,,62.4242424242,3.7001463010,,,62.4242424242,0.2599166695,,,62.4242424242,5.3794251681,,,62.4242424242,5.8695887646,,,62.4242424242,0.8777423715
,,62.9292929293,3.7576084036,,,62.9292929293,0.2635093108,,,62.9292929293,5.4551031870,,,62.9292929293,5.9520963938,,,62.9292929293,0.8906067318
,,63.4343434343,3.8154928323,,,63.4343434343,0.2671222964,,,63.4343434343,5.5312281305,,,63.4343434343,6.0350903635,,,63.4343434343,0.903554539
,,63.9393939394,3.8737992917,,,63.9393939394,0.2707555782,,,63.9393939394,5.6077990479,,,63.9393939394,6.1185696339,,,63.9393939394,0.9165856634
,,64.4444444444,3.9325274887,,,64.4444444444,0.2744091087,,,64.4444444444,5.6848149985,,,64.4444444444,6.202533176,,,64.4444444444,0.9296999769
,,64.9494949495,3.9916771327,,,64.9494949495,0.2780828405,,,64.9494949495,5.7622750506,,,64.9494949495,6.2869799707,,,64.9494949495,0.9428973521
,,65.4545454545,4.0512479357,,,65.4545454545,0.2817767271,,,65.4545454545,5.8401782819,,,65.4545454545,6.3719090091,,,65.4545454545,0.9561776633
,,65.9595959596,4.111239612,,,65.9595959596,0.2854907222,,,65.9595959596,5.9185237789,,,65.9595959596,6.4573192923,,,65.9595959596,0.9695407856
,,66.4646464646,4.1716518784,,,66.4646464646,0.2892247800,,,66.4646464646,5.9973106373,,,66.4646464646,6.5432098309,,,66.4646464646,0.9829865954
,,66.9696969697,4.232484454,,,66.9696969697,0.2929788553,,,66.9696969697,6.0765379612,,,66.9696969697,6.6295796454,,,66.9696969697,0.9965149701
,,67.4747474747,4.2937370601,,,67.4747474747,0.2967529031,,,67.4747474747,6.1562048637,,,67.4747474747,6.7164277654,,,67.4747474747,1.0101257885
,,67.9797979798,4.3554094205,,,67.9797979798,0.3005468791,,,67.9797979798,6.2363104658,,,67.9797979798,6.8037532298,,,67.9797979798,1.0238189301
,,68.4848484848,4.4175012611,,,68.4848484848,0.3043607392,,,68.4848484848,6.3168538972,,,68.4848484848,6.8915550866,,,68.4848484848,1.0375942757
,,68.9898989899,4.48001231,,,68.9898989899,0.3081944399,,,68.9898989899,6.3978342956,,,68.9898989899,6.9798323927,,,68.9898989899,1.0514517072
,,69.4949494949,4.5429422974,,,69.4949494949,0.3120479379,,,69.4949494949,6.4792508067,,,69.4949494949,7.0685842139,,,69.4949494949,1.0653911073
,,70.,4.606290956,,,70.,0.3159211906,,,70.,6.5611025842,,,70.,7.1578096244,,,70.,1.0794123600
