Energy (eV),Absorption (OD),EA 20 kV/cm (mOD),EA 30 kV/cm (mOD),EA 40 kV/cm (mOD),EA 50 kV/cm (mOD),EA 60 kV/cm (mOD),EA 70 kV/cm (mOD),EA 80 kV/cm (mOD)
3.2627419210526316,1.417374441843515,-1.4722729241075658,-0.9633801566873939,-2.173986275259718,-2.7908760057315196,-3.7694328599471922,-4.201972051100187,-5.896090015722422
3.2541782939632546,1.418630527333127,-1.616121286145409,-2.45292101821397,-3.2868661305308797,-3.494590384571063,-3.349058374414449,-4.376557052817641,-5.372649759922152
3.245659502617801,1.438297132449406,-0.9304205343271457,-1.5231386116166574,-2.9594015814106873,-3.167977810079242,-4.3798118187446,-4.7913657159947665,-5.436496695379139
3.2371851958224545,1.467652876633063,-0.7698194419821762,-0.7664265357765936,-2.5909710614351145,-2.8631272836191495,-3.6603052762410067,-4.763786385806986,-4.352197481582767
3.2287550260416666,1.4936744327181029,-1.8912331262792912,-0.5905883483457048,-1.468281445990915,-2.249489498730636,-2.3731786415759744,-4.474607643200814,-4.704241071020254
3.2203686493506494,1.5135483398431573,-1.140900760147779,-0.7790487388623567,-1.3143246060775187,-2.310284527294642,-2.6032940915966467,-2.9557531252111784,-4.086915575745091
3.2120257253886013,1.5277826970009105,-0.3607154777087721,-0.8167019719072289,-1.7526363665243305,-1.7014890684255244,-2.613824789429495,-2.560320632034067,-3.0601025519202016
3.2037259173126618,1.5283977700141365,-0.5323686451193086,-1.0775454062587666,-1.3438042267091845,-1.632959930372867,-1.390087041630787,-1.9134163453685964,-2.6991895879504706
3.1954688917525775,1.515471374559742,-0.5486898711080771,-0.879854640836077,-1.2661574766920423,-0.910342367238996,-1.2871103043629264,-1.4009155159815128,-1.487575825976963
3.187254318766067,1.4872867281550248,-0.2221593062161901,-0.6416017178873485,-0.6174638988034169,-0.8336685811503654,-1.0246782409032764,-0.9676487627436072,-1.2949341422044853
3.179081871794872,1.4597891012895532,-0.16724288516503819,-0.5662772668947947,-0.32937126767237873,-0.5142400115891343,-0.6848849443855272,-0.8161289025351738,-0.9367175912624929
3.1709512276214835,1.4417511228630884,-0.20825781806740415,-0.20028320158968832,-0.2330177886375077,-0.27922944837302766,-0.3988535719763587,-0.5699310970273188,-0.44940800249547924
3.1628620663265306,1.4363847246127786,-0.10918444965254627,-0.05844962007586453,-0.1702190271354193,-0.21866889422104369,-0.26811710960573626,-0.29995651052913214,-0.3563910362809216
3.1548140712468196,1.453022041748282,-0.040455235244218506,-0.05813669453825699,-0.07107771418356729,-0.12253939407625311,-0.15478925014660488,-0.14445737376810155,-0.22670841495959557
3.1468069289340104,1.477727751694526,-0.017358089535384612,-0.07715431731476798,-0.04702341480105914,-0.03250904131960022,0.013156738706571866,0.031236862372676664,0.026822912975379525
3.138840329113924,1.4907309227652656,-0.07422858886054377,-0.0414890677083189,-0.06245432487968608,0.015208104948296303,0.11414062941758635,0.1620238448665049,0.12469887894579122
3.130913964646465,1.4828306532338211,0.008618039743849145,-0.005739872635357676,-0.03906965779100694,-0.08544251532220573,0.02853680996598689,0.031602441969773826,0.11591274224798637
3.123027531486146,1.4694500703349953,0.014730188830838993,-0.044958962050191134,-0.0607717265226968,-0.10646772018359105,-0.10208130268498666,-0.14649815432846158,-0.024930922826435768
3.115180728643216,1.4587903897834922,-0.04690868411010682,-0.08390353172335602,-0.10747451614840589,-0.12440101410926421,-0.20200841518278306,-0.203553308002262,-0.15907575380351238
3.1073732581453637,1.4464722610889333,-0.06890575136722535,-0.13847248444999685,-0.09472147261386335,-0.20552357651311695,-0.16149821278742219,-0.15009694039528054,-0.20860322057647696
3.099604825,1.4176606246196541,-0.03360768084785448,-0.062085926182769355,-0.034621832787579604,-0.08252185198722416,-0.03968574151386728,-0.04619653239831666,-0.02782679984834022
3.0918751371571074,1.3644101880350412,-0.007019401306889582,-0.022551745028372098,-0.02136128578849635,0.020620422680544846,0.12190927443886738,0.10312952175830022,0.18283590632814767
3.0841839054726368,1.2826757029227278,-0.0175219930020555,-0.01901433836176329,0.0287217435627643,0.063232241808235,0.20965298139208471,0.2115953014385074,0.34689356772008234
3.0765308436724568,1.1920164199679673,-0.00243798425043967,0.01852316746945506,0.059195722686568704,0.09492225110102327,0.2257127111014538,0.23484235555943747,0.37914597338857453
3.0689156683168317,1.1076620173659437,0.010364450203329906,0.0383882551926797,0.06533211148598099,0.1283090716647082,0.2163301019286911,0.2749244476127225,0.40976239886006205
3.0613380987654324,1.031414643966756,0.0171296750686871,0.03704610687960265,0.06529099197809855,0.11491708970335837,0.21873589733991258,0.30054289332221323,0.3848674603229359
3.0537978571428575,0.9669296585678809,0.004084361598154532,0.041134216703508884,0.06924900447869199,0.1192939699809753,0.2031825590076194,0.2769014934206335,0.36989760906219715
3.0462946683046686,0.91755491922445,0.009280065308986772,0.029815715165261648,0.07143328986922115,0.12795179902405396,0.20067842095415042,0.27155012061638284,0.3610837799525179
3.0388282598039216,0.8750594898961301,0.00849926635704104,0.028880975363315135,0.06180376459175679,0.11145156558589943,0.1880134754684983,0.26067077077187517,0.3493837596640686
3.031398361858191,0.8380644923467513,0.01874758360373824,0.032012006097253215,0.06950314526899738,0.11063371762705748,0.1853528286894223,0.24512335699434493,0.33292316991299226
3.0240047073170735,0.8034172756761867,0.014896609520611068,0.035396769475982755,0.07179756286293361,0.1136298669555145,0.17104138756456164,0.2442502363689396,0.31267965217017946
3.0166470316301703,0.7705038893549299,0.011627449631394308,0.030170241591460742,0.07128974091202277,0.10784592313600866,0.15309775869469242,0.22232486683509897,0.28904587341473903
3.009325072815534,0.74149607920804,0.013691920812252574,0.024486043404950274,0.06599427273345364,0.09511490573270184,0.14399983541535585,0.20103170070348175,0.26076483912269677
3.0020385714285713,0.7185225180928091,0.00757233305046255,0.024276562649660043,0.05806445686655568,0.0828473489842976,0.13081190080277313,0.1854786928306743,0.24654249076080276
2.994787270531401,0.6953244748242388,0.009483500717166178,0.02449818892901842,0.051118088846175073,0.0788371515323695,0.11782008565907472,0.16939775657356188,0.22547617671520528
2.987570915662651,0.6756790374203254,0.005888040189313195,0.01684891098683407,0.04978965193266338,0.06789307245695622,0.10513472992432622,0.13851122629151044,0.20169527542934815
2.9803892548076925,0.6572119271464447,0.004889965631952917,0.015073635077676005,0.04264734130580004,0.060454721884809666,0.10107277471691381,0.1344666524214327,0.17639774377022618
2.9732420383693046,0.6383556763054904,0.0019661302144601983,0.01142546958207807,0.03322986855396899,0.0438887336178242,0.08942303383777882,0.11093681506138167,0.16034665701429318
2.966129019138756,0.6217337175777649,0.004548572732370839,0.007795223586828445,0.01912085183596775,0.03521605004301883,0.07364585617234572,0.09896329870984759,0.13701154230684146
2.959049952267303,0.6072440100125176,0.0024669548790748896,0.0007281226955413197,0.011212120449277831,0.025235102076176692,0.05538974931297498,0.0953631081231183,0.10277737329732194
2.9520045952380953,0.5947603174626661,0.0015096618329938911,-0.008410324544514097,-0.0004718842304864995,0.011109014735678541,0.035716407385357106,0.049470561079801904,0.0785521232902189
2.94499270783848,0.5815183286020249,-0.0033419290128054667,-0.011237807213890698,-0.015666926697302477,-0.010195235258420568,0.002221675711516112,0.02841150141625851,0.011202595418012214
2.9380140521327016,0.5707474761091904,-0.008194815229285002,-0.026302933647233896,-0.033751606263457426,-0.046391779377112044,-0.0498078234514012,-0.07958384422841089,-0.1252274591750251
2.9310683924349883,0.5622320774301742,-0.01963880030455199,-0.04767784273203175,-0.06504764674503416,-0.09871342480437593,-0.14773747588984257,-0.2323820844283429,-0.34311725434706186
2.924155495283019,0.5530223107601728,-0.03223483470181009,-0.06899652042253447,-0.11883514211130385,-0.1857945481462932,-0.3067270734556424,-0.4637204199458584,-0.6910692792510951
2.917275129411765,0.544862162292106,-0.050004530332531986,-0.10487304123562517,-0.2113002174540682,-0.3367010766442023,-0.5701568403429824,-0.8563152045747969,-1.2067070750609306
2.9104270657276996,0.5380392932254536,-0.07447030711751286,-0.16826789794739835,-0.3457108940688381,-0.5730621895999887,-0.9490393454436201,-1.3938619992103636,-1.8969387075983175
2.9036110772833723,0.5315069270263898,-0.11876882213661832,-0.27133369351967845,-0.5484893787790853,-0.8931753858452518,-1.439153470052522,-2.04972750587556,-2.7197452964607756
2.8968269392523367,0.5279363415819986,-0.17592454985059217,-0.40169872464394735,-0.816868323059806,-1.299132987611833,-1.997793809665555,-2.7651202203808922,-3.579500787738521
2.890074428904429,0.5266114448085941,-0.24973331052331135,-0.554657927656378,-1.0997715929305043,-1.6979486290625234,-2.517835231141346,-3.3597494662595184,-4.171999234570366
2.8833533255813957,0.5261764723363941,-0.31932915551330193,-0.6891295963734967,-1.316115778156061,-1.9565596499317899,-2.7836853838037827,-3.525041702340907,-4.159311297914723
2.876663410672854,0.5257577982246965,-0.35808790490059067,-0.7403233494046326,-1.3269453054947282,-1.868734932596683,-2.4474904714987358,-2.839142393244676,-3.0373288129862757
2.870004467592593,0.5229270697859327,-0.313245970149367,-0.5908195299791409,-0.9318553821858241,-1.1453038175807595,-1.1557146291055165,-0.8935840771794696,-0.32637251378453896
2.863376281755196,0.5186627911645947,-0.10800525159868386,-0.09377489619707123,0.08889790849256217,0.4882410984236615,1.4018328231014872,2.683164497147404,4.30804841630591
2.8567786405529954,0.5094662009301093,0.3082758633597863,0.8355721882936066,2.0855830177985273,3.211132218193553,5.38561619989991,8.562684039754162,10.966717621348531
2.8502113333333337,0.49727675344626965,0.961098174360688,2.2432995872130816,4.451473980656854,7.270444907506376,10.465519657239357,14.503428411167661,18.611956308539973
2.8436741513761468,0.4778624031404376,1.7718229001580978,3.8764200386868537,7.191339554831333,10.794288187517523,15.511566431770826,20.429539194208573,25.594709117835436
2.8371668878718537,0.45416188086109927,2.4753408671589026,5.220478641641957,9.339448562861946,13.477173301024058,18.845564542971243,24.120366538943205,29.3683154231513
2.8306893378995435,0.42443888545024755,2.730132887110234,5.603746073533138,9.749187203976962,13.78139188155555,18.7457049567648,23.403520424046114,27.99919928204445
2.8242412984054672,0.38897631264798904,2.2119966194353733,4.434679381287789,7.524495457369308,10.42639024131436,13.829738444725983,16.905480713353366,19.826580016177065
2.817822568181818,0.34943178158605837,0.8704026948232331,1.6841906284791472,2.7727110239478034,3.7495215256790133,4.822527995046782,5.697632174550322,6.468733427377101
2.811432947845805,0.30759873866623105,-0.8451805383258492,-1.736258898864734,-2.951058546074178,-4.070455162371326,-5.457057921432785,-6.756378412688474,-8.013295911661842
2.8050722398190047,0.2716727999886231,-2.254257010989856,-4.532146606163997,-7.601169614098739,-10.438334382022774,-13.78547105247937,-16.67445160502739,-19.69147674568648
2.7987402483069976,0.24125702090715068,-2.8543364609731534,-5.774211503777672,-9.741210326270101,-13.520960776549607,-17.996800754686877,-21.866825762754104,-26.02593230092175
