Energy (eV),Absorption (OD),EA 20 kV/cm (mOD),EA 30 kV/cm (mOD),EA 40 kV/cm (mOD),EA 50 kV/cm (mOD),EA 60 kV/cm (mOD),EA 70 kV/cm (mOD)
2.8502113333333337,0.28706584102907157,0.8132002379157477,1.5976749780939263,2.7871155533560117,3.9878700639195235,5.417195232018128,7.277256665367811
2.8436741513761468,0.2737492294162679,0.7691242235273015,1.4986073293892965,2.560312313238194,3.6139000542486794,4.803820053553783,6.374402134175606
2.8371668878718537,0.26151991766939225,0.5293504692799862,1.0165242135854173,1.7218877358946627,2.4056427004241194,3.1404397191067095,4.140213939363131
2.8306893378995435,0.24518738385936403,0.15346438912108154,0.2796369154412497,0.4625441799607465,0.6397143287680159,0.8069009468141465,1.0164808502111446
2.8242412984054672,0.22384174958543748,-0.2743790060710224,-0.5417856316093996,-0.9065792346480107,-1.269863164846338,-1.705045787962534,-2.2667500081625462
2.817822568181818,0.20683068792547535,-0.5993986003040974,-1.1621825287383842,-1.9667929724468458,-2.756412418329672,-3.662471301389292,-4.871692644853186
2.811432947845805,0.19211499797111198,-0.7548924486039504,-1.455957852144618,-2.495102258897987,-3.5189098170733275,-4.694007358543747,-6.29454836385191
2.8050722398190047,0.1794699632137965,-0.7483301467079534,-1.4550994475342989,-2.519130582418054,-3.6169674264261507,-4.863985924459221,-6.633578800404114
2.7987402483069976,0.1701823827135573,-0.6396543078905622,-1.2580231018214256,-2.212656198610147,-3.219645373282907,-4.401342448794504,-6.107883433789621
2.7924367792792792,0.16227187811785904,-0.5053504539051576,-1.0004144885698487,-1.7830697070500787,-2.631148832079247,-3.6336289389775915,-5.15365650384387
2.7861616404494383,0.15707671361476597,-0.37875493060105725,-0.7628750396602507,-1.378349367199182,-2.057516209304476,-2.867698163363775,-4.1588663264038255
2.7799146412556053,0.15030863831086722,-0.2786266414936607,-0.5695042644326506,-1.0271962444794998,-1.560761018075916,-2.1842665877389322,-3.2203645287087053
2.7736955928411633,0.14978918837751232,-0.20892815970059386,-0.42431660303495367,-0.7716992773916956,-1.1771825180101758,-1.6560805672513723,-2.486769851880533
2.7675043080357145,0.1461249637202125,-0.14859811223043334,-0.3063941596857483,-0.5599712628768856,-0.8633681335254949,-1.220100742251887,-1.8399013519411547
2.761340601336303,0.14172858633720525,-0.114616023551011,-0.24013772099386688,-0.441520707126115,-0.6769075166706224,-0.9597724151469383,-1.45140304183604
2.755204288888889,0.14298795042378065,-0.09431317845405966,-0.1980081037745191,-0.36215499589918626,-0.5602070765680907,-0.7902141390404659,-1.2041888470809536
2.7490951884700667,0.13882035294681797,-0.0728961096698744,-0.15321638358769518,-0.2816478480650947,-0.4286319560556147,-0.6068743749129114,-0.9227719245369006
2.7430131194690266,0.13720238949227187,-0.050782656261527684,-0.12477139133558357,-0.22854465417576805,-0.3510070727007169,-0.4942030191687519,-0.7543179161731308
2.7369579028697575,0.1371021024389679,-0.04567077801598011,-0.1036526869658151,-0.18769075442735378,-0.2866630605231563,-0.39614279304613476,-0.611243063092539
2.73092936123348,0.13596071854390562,-0.04072881770874802,-0.08395119283675048,-0.15446981339124718,-0.23347705160418075,-0.3236444067638051,-0.49825859273575773
