Data R1_x,Data R1_y,Fit R1 (k=1.91)_x,Fit R1 (k=1.91)_y,Data R2_x,Data R2_y,Fit R2 (k=1.71)_x,Fit R2 (k=1.71)_y,Data R3_x,Data R3_y,Fit R3 (k=1.73)_x,Fit R3 (k=1.73)_y,Data R4_x,Data R4_y,Fit R4 (k=1.73)_x,Fit R4 (k=1.73)_y,Data R5_x,Data R5_y,Fit R5 (k=1.80)_x,Fit R5 (k=1.80)_y
,,25.0505050505,0.6454717031,,,25.0505050505,0.0544876921,,,25.0505050505,1.1094414381,,,25.0505050505,1.2069520094,,,25.0505050505,0.168391205
,,25.5555555556,0.6705877281,,,25.5555555556,0.0563830507,,,25.5555555556,1.1483348422,,,25.5555555556,1.2494157269,,,25.5555555556,0.1745632107
,,26.0606060606,0.6961607658,,,26.0606060606,0.0583053088,,,26.0606060606,1.1877904846,,,26.0606060606,1.2924984813,,,26.0606060606,0.1808339972
,,26.5656565657,0.7221900335,,,26.5656565657,0.0602543156,,,26.5656565657,1.2278053606,,,26.5656565657,1.3361970374,,,26.5656565657,0.1872031852
,,27.0707070707,0.7486747647,,,27.0707070707,0.0622299243,,,27.0707070707,1.2683765386,,,27.0707070707,1.3805082390,,,27.0707070707,0.193670404
,,27.5757575758,0.7756142088,,,27.5757575758,0.0642319914,,,27.5757575758,1.3095011573,,,27.5757575758,1.4254290047,,,27.5757575758,0.2002352911
,,28.0808080808,0.8030076300,,,28.0808080808,0.0662603770,,,28.0808080808,1.3511764225,,,28.0808080808,1.4709563254,,,28.0808080808,0.2068974924
,,28.5858585859,0.8308543073,,,28.5858585859,0.0683149444,,,28.5858585859,1.3933996044,,,28.5858585859,1.5170872609,,,28.5858585859,0.2136566611
,,29.0909090909,0.8591535334,,,29.0909090909,0.0703955599,,,29.0909090909,1.4361680353,,,29.0909090909,1.5638189374,,,29.0909090909,0.2205124580
,,29.595959596,0.8879046147,,,29.595959596,0.0725020930,,,29.595959596,1.4794791065,,,29.595959596,1.6111485446,,,29.595959596,0.2274645509
,,30.1010101010,0.9171068704,,,30.1010101010,0.074634416,,,30.1010101010,1.5233302668,,,30.1010101010,1.6590733337,,,30.1010101010,0.2345126145
,,30.6060606061,0.9467596324,,,30.6060606061,0.0767924039,,,30.6060606061,1.5677190195,,,30.6060606061,1.7075906145,,,30.6060606061,0.2416563300
,,31.1111111111,0.9768622444,,,31.1111111111,0.0789759345,,,31.1111111111,1.6126429209,,,31.1111111111,1.7566977533,,,31.1111111111,0.2488953850
,,31.6161616162,1.007414062,,,31.6161616162,0.0811848882,,,31.6161616162,1.6580995780,,,31.6161616162,1.8063921714,,,31.6161616162,0.2562294732
,,32.1212121212,1.0384144521,,,32.1212121212,0.0834191476,,,32.1212121212,1.7040866470,,,32.1212121212,1.8566713421,,,32.1212121212,0.2636582941
,,32.6262626263,1.0698627924,,,32.6262626263,0.0856785980,,,32.6262626263,1.7506018311,,,32.6262626263,1.9075327897,,,32.6262626263,0.2711815530
,,33.1313131313,1.1017584712,,,33.1313131313,0.0879631269,,,33.1313131313,1.7976428792,,,33.1313131313,1.9589740873,,,33.1313131313,0.2787989608
,,33.6363636364,1.1341008869,,,33.6363636364,0.0902726238,,,33.6363636364,1.8452075841,,,33.6363636364,2.0109928551,,,33.6363636364,0.2865102333
,,34.1414141414,1.1668894481,,,34.1414141414,0.0926069808,,,34.1414141414,1.8932937809,,,34.1414141414,2.0635867589,,,34.1414141414,0.294315092
,,34.6464646465,1.2001235725,,,34.6464646465,0.0949660916,,,34.6464646465,1.9418993461,,,34.6464646465,2.1167535086,,,34.6464646465,0.3022132628
,,35.1515151515,1.2338026876,,,35.1515151515,0.0973498523,,,35.1515151515,1.9910221954,,,35.1515151515,2.1704908564,,,35.1515151515,0.3102044769
,,35.6565656566,1.2679262296,,,35.6565656566,0.0997581606,,,35.6565656566,2.0406602832,,,35.6565656566,2.224796596,,,35.6565656566,0.3182884698
,,36.1616161616,1.3024936435,,,36.1616161616,0.1021909162,,,36.1616161616,2.0908116008,,,36.1616161616,2.2796685606,,,36.1616161616,0.3264649817
,,36.6666666667,1.3375043828,,,36.6666666667,0.1046480207,,,36.6666666667,2.1414741756,,,36.6666666667,2.3351046222,,,36.6666666667,0.3347337570
,,37.1717171717,1.3729579093,,,37.1717171717,0.1071293774,,,37.1717171717,2.1926460695,,,37.1717171717,2.3911026901,,,37.1717171717,0.3430945446
,,37.6767676768,1.4088536927,,,37.6767676768,0.1096348912,,,37.6767676768,2.2443253784,,,37.6767676768,2.4476607097,,,37.6767676768,0.3515470972
,,38.1818181818,1.4451912105,,,38.1818181818,0.1121644687,,,38.1818181818,2.2965102307,,,38.1818181818,2.5047766616,,,38.1818181818,0.3600911717
,,38.6868686869,1.4819699478,,,38.6868686869,0.1147180183,,,38.6868686869,2.3491987867,,,38.6868686869,2.5624485603,,,38.6868686869,0.3687265288
,,39.1919191919,1.5191893970,,,39.1919191919,0.1172954496,,,39.1919191919,2.4023892371,,,39.1919191919,2.6206744535,,,39.1919191919,0.3774529329
,,39.696969697,1.5568490578,,,39.696969697,0.1198966740,,,39.696969697,2.4560798027,,,39.696969697,2.6794524209,,,39.696969697,0.3862701522
,,40.2020202020,1.5949484367,,,40.2020202020,0.1225216042,,,40.2020202020,2.5102687333,,,40.2020202020,2.7387805731,,,40.2020202020,0.3951779583
,,40.7070707071,1.6334870471,,,40.7070707071,0.1251701543,,,40.7070707071,2.5649543066,,,40.7070707071,2.7986570513,,,40.7070707071,0.4041761264
,,41.2121212121,1.6724644089,,,41.2121212121,0.1278422398,,,41.2121212121,2.6201348279,,,41.2121212121,2.8590800257,,,41.2121212121,0.4132644348
,,41.7171717172,1.7118800485,,,41.7171717172,0.1305377777,,,41.7171717172,2.6758086289,,,41.7171717172,2.9200476954,,,41.7171717172,0.4224426653
,,42.2222222222,1.7517334986,,,42.2222222222,0.1332566861,,,42.2222222222,2.7319740672,,,42.2222222222,2.981558287,,,42.2222222222,0.4317106029
,,42.7272727273,1.7920242978,,,42.7272727273,0.1359988845,,,42.7272727273,2.7886295257,,,42.7272727273,3.0436100541,,,42.7272727273,0.4410680356
,,43.2323232323,1.8327519911,,,43.2323232323,0.1387642935,,,43.2323232323,2.8457734113,,,43.2323232323,3.106201277,,,43.2323232323,0.4505147542
,,43.7373737374,1.8739161288,,,43.7373737374,0.1415528349,,,43.7373737374,2.9034041553,,,43.7373737374,3.169330261,,,43.7373737374,0.4600505529
,,44.2424242424,1.9155162672,,,44.2424242424,0.1443644319,,,44.2424242424,2.9615202117,,,44.2424242424,3.2329953367,,,44.2424242424,0.4696752284
,,44.7474747475,1.9575519682,,,44.7474747475,0.1471990085,,,44.7474747475,3.0201200573,,,44.7474747475,3.2971948588,,,44.7474747475,0.4793885803
,,45.2525252525,2.0000227988,,,45.2525252525,0.1500564901,,,45.2525252525,3.0792021909,,,45.2525252525,3.3619272058,,,45.2525252525,0.489190411
,,45.7575757576,2.0429283315,,,45.7575757576,0.1529368029,,,45.7575757576,3.1387651326,,,45.7575757576,3.4271907790,,,45.7575757576,0.4990805253
,,46.2626262626,2.0862681439,,,46.2626262626,0.1558398745,,,46.2626262626,3.1988074235,,,46.2626262626,3.4929840024,,,46.2626262626,0.5090587309
,,46.7676767677,2.1300418186,,,46.7676767677,0.1587656332,,,46.7676767677,3.2593276250,,,46.7676767677,3.5593053218,,,46.7676767677,0.5191248379
,,47.2727272727,2.1742489433,,,47.2727272727,0.1617140084,,,47.2727272727,3.3203243185,,,47.2727272727,3.6261532042,,,47.2727272727,0.5292786587
,,47.7777777778,2.2188891104,,,47.7777777778,0.1646849305,,,47.7777777778,3.3817961046,,,47.7777777778,3.6935261377,,,47.7777777778,0.5395200084
,,48.2828282828,2.2639619168,,,48.2828282828,0.167678331,,,48.2828282828,3.443741603,,,48.2828282828,3.7614226307,,,48.2828282828,0.5498487043
,,48.7878787879,2.3094669644,,,48.7878787879,0.170694142,,,48.7878787879,3.5061594516,,,48.7878787879,3.8298412114,,,48.7878787879,0.5602645659
,,49.2929292929,2.3554038594,,,49.2929292929,0.1737322967,,,49.2929292929,3.5690483067,,,49.2929292929,3.8987804272,,,49.2929292929,0.5707674151
,,49.797979798,2.4017722123,,,49.797979798,0.1767927292,,,49.797979798,3.6324068418,,,49.797979798,3.9682388449,,,49.797979798,0.581357076
,,50.3030303030,2.4485716381,,,50.3030303030,0.1798753745,,,50.3030303030,3.696233748,,,50.3030303030,4.0382150493,,,50.3030303030,0.5920333747
,,50.8080808081,2.495801756,,,50.8080808081,0.1829801683,,,50.8080808081,3.7605277328,,,50.8080808081,4.1087076436,,,50.8080808081,0.6027961395
,,51.3131313131,2.5434621892,,,51.3131313131,0.1861070472,,,51.3131313131,3.8252875205,,,51.3131313131,4.1797152485,,,51.3131313131,0.6136452008
,,51.8181818182,2.5915525652,,,51.8181818182,0.1892559486,,,51.8181818182,3.8905118512,,,51.8181818182,4.2512365021,,,51.8181818182,0.6245803908
,,52.3232323232,2.6400725152,,,52.3232323232,0.1924268107,,,52.3232323232,3.9561994808,,,52.3232323232,4.3232700594,,,52.3232323232,0.635601544
,,52.8282828283,2.6890216744,,,52.8282828283,0.1956195725,,,52.8282828283,4.0223491806,,,52.8282828283,4.3958145918,,,52.8282828283,0.6467084964
,,53.3333333333,2.7383996818,,,53.3333333333,0.1988341736,,,53.3333333333,4.0889597367,,,53.3333333333,4.4688687868,,,53.3333333333,0.6579010863
,,53.8383838384,2.7882061803,,,53.8383838384,0.2020705546,,,53.8383838384,4.1560299501,,,53.8383838384,4.542431348,,,53.8383838384,0.6691791535
,,54.3434343434,2.8384408161,,,54.3434343434,0.2053286565,,,54.3434343434,4.2235586361,,,54.3434343434,4.6165009941,,,54.3434343434,0.6805425398
,,54.8484848485,2.8891032393,,,54.8484848485,0.2086084214,,,54.8484848485,4.2915446242,,,54.8484848485,4.6910764593,,,54.8484848485,0.6919910888
,,55.3535353535,2.9401931035,,,55.3535353535,0.2119097917,,,55.3535353535,4.3599867574,,,55.3535353535,4.7661564924,,,55.3535353535,0.7035246456
,,55.8585858586,2.9917100655,,,55.8585858586,0.2152327107,,,55.8585858586,4.4288838925,,,55.8585858586,4.8417398568,,,55.8585858586,0.7151430573
,,56.3636363636,3.0436537858,,,56.3636363636,0.2185771224,,,56.3636363636,4.4982348994,,,56.3636363636,4.9178253301,,,56.3636363636,0.7268461723
,,56.8686868687,3.096023928,,,56.8686868687,0.2219429712,,,56.8686868687,4.5680386607,,,56.8686868687,4.9944117038,,,56.8686868687,0.7386338410
,,57.3737373737,3.1488201590,,,57.3737373737,0.2253302023,,,57.3737373737,4.6382940720,,,57.3737373737,5.0714977832,,,57.3737373737,0.7505059152
,,57.8787878788,3.2020421491,,,57.8787878788,0.2287387617,,,57.8787878788,4.7090000413,,,57.8787878788,5.1490823868,,,57.8787878788,0.7624622483
,,58.3838383838,3.2556895715,,,58.3838383838,0.2321685956,,,58.3838383838,4.7801554886,,,58.3838383838,5.2271643463,,,58.3838383838,0.7745026952
,,58.8888888889,3.3097621025,,,58.8888888889,0.2356196512,,,58.8888888889,4.851759346,,,58.8888888889,5.3057425062,,,58.8888888889,0.7866271123
,,59.3939393939,3.3642594216,,,59.3939393939,0.2390918761,,,59.3939393939,4.9238105571,,,59.3939393939,5.3848157237,,,59.3939393939,0.7988353576
,,59.898989899,3.4191812112,,,59.898989899,0.2425852184,,,59.898989899,4.9963080773,,,59.898989899,5.4643828682,,,59.898989899,0.8111272905
,,60.4040404040,3.4745271565,,,60.4040404040,0.2460996268,,,60.4040404040,5.0692508729,,,60.4040404040,5.5444428213,,,60.4040404040,0.8235027717
,,60.9090909091,3.5302969458,,,60.9090909091,0.2496350508,,,60.9090909091,5.1426379216,,,60.9090909091,5.6249944767,,,60.9090909091,0.8359616634
,,61.4141414141,3.58649027,,,61.4141414141,0.2531914401,,,61.4141414141,5.2164682115,,,61.4141414141,5.7060367394,,,61.4141414141,0.8485038293
,,61.9191919192,3.6431068229,,,61.9191919192,0.2567687452,,,61.9191919192,5.2907407417,,,61.9191919192,5.7875685261,,,61.9191919192,0.8611291341
,,62.4242424242,3.7001463010,,,62.4242424242,0.2603669168,,,62.4242424242,5.3654545217,,,62.4242424242,5.8695887646,,,62.4242424242,0.8738374441
,,62.9292929293,3.7576084036,,,62.9292929293,0.2639859065,,,62.9292929293,5.440608571,,,62.9292929293,5.9520963938,,,62.9292929293,0.8866286269
,,63.4343434343,3.8154928323,,,63.4343434343,0.2676256662,,,63.4343434343,5.5162019193,,,63.4343434343,6.0350903635,,,63.4343434343,0.8995025513
,,63.9393939394,3.8737992917,,,63.9393939394,0.2712861482,,,63.9393939394,5.5922336062,,,63.9393939394,6.1185696339,,,63.9393939394,0.9124590874
,,64.4444444444,3.9325274887,,,64.4444444444,0.2749673055,,,64.4444444444,5.6687026810,,,64.4444444444,6.202533176,,,64.4444444444,0.9254981063
,,64.9494949495,3.9916771327,,,64.9494949495,0.2786690915,,,64.9494949495,5.7456082024,,,64.9494949495,6.2869799707,,,64.9494949495,0.9386194807
,,65.4545454545,4.0512479357,,,65.4545454545,0.2823914599,,,65.4545454545,5.8229492386,,,65.4545454545,6.3719090091,,,65.4545454545,0.9518230843
,,65.9595959596,4.111239612,,,65.9595959596,0.2861343651,,,65.9595959596,5.9007248669,,,65.9595959596,6.4573192923,,,65.9595959596,0.9651087918
,,66.4646464646,4.1716518784,,,66.4646464646,0.2898977618,,,66.4646464646,5.9789341735,,,66.4646464646,6.5432098309,,,66.4646464646,0.9784764793
,,66.9696969697,4.232484454,,,66.9696969697,0.2936816053,,,66.9696969697,6.0575762538,,,66.9696969697,6.6295796454,,,66.9696969697,0.9919260241
,,67.4747474747,4.2937370601,,,67.4747474747,0.2974858511,,,67.4747474747,6.1366502116,,,67.4747474747,6.7164277654,,,67.4747474747,1.0054573042
,,67.9797979798,4.3554094205,,,67.9797979798,0.3013104554,,,67.9797979798,6.2161551594,,,67.9797979798,6.8037532298,,,67.9797979798,1.0190701991
,,68.4848484848,4.4175012611,,,68.4848484848,0.3051553746,,,68.4848484848,6.2960902181,,,68.4848484848,6.8915550866,,,68.4848484848,1.0327645892
,,68.9898989899,4.48001231,,,68.9898989899,0.3090205656,,,68.9898989899,6.3764545169,,,68.9898989899,6.9798323927,,,68.9898989899,1.0465403559
,,69.4949494949,4.5429422974,,,69.4949494949,0.3129059857,,,69.4949494949,6.4572471932,,,69.4949494949,7.0685842139,,,69.4949494949,1.0603973819
,,70.,4.606290956,,,70.,0.3168115926,,,70.,6.5384673922,,,70.,7.1578096244,,,70.,1.0743355507
