Energy (eV),Absorption (OD)
2.234234234234234,0.6299737723570774
2.2302158273381294,0.6262014369413988
2.2262118491921004,0.6222360343045905
2.2222222222222223,0.6182046456180539
2.21824686940966,0.6143054571795141
2.2142857142857144,0.6105550730691278
2.2103386809269163,0.6065655018768696
2.206405693950178,0.6021577889660571
2.202486678507993,0.5978616425042802
2.198581560283688,0.5937965213110139
2.1946902654867255,0.5906321650587744
2.1908127208480566,0.5871312209449769
2.18694885361552,0.5839837402600261
2.183098591549296,0.5806531768575252
2.1792618629173988,0.5779906811881494
2.175438596491228,0.5753966100604325
2.171628721541156,0.5720629244977252
2.167832167832168,0.5688395212053211
2.1640488656195465,0.5653955204749077
2.1602787456445993,0.5628528557214836
2.1565217391304348,0.5602214845830412
2.1527777777777777,0.5569863124650634
2.149046793760832,0.5545580208217932
2.1453287197231834,0.5519700442192162
2.1416234887737478,0.5501667552365545
2.1379310344827585,0.5477746082975361
2.134251290877797,0.5457054824479967
2.1305841924398625,0.5441228243609362
2.1269296740994856,0.5420755883992772
2.1232876712328768,0.5404968625670153
2.1196581196581197,0.5378983937293533
2.1160409556313993,0.5359434413025469
2.1124361158432707,0.5344819395426968
2.108843537414966,0.5331204621191702
2.1052631578947367,0.5321533821792801
2.1016949152542375,0.530859300789067
2.0981387478849407,0.5303442088929318
2.0945945945945947,0.5293970174856655
2.09106239460371,0.5286617454580447
2.0875420875420874,0.5277155037272555
2.0840336134453783,0.5263336060915733
2.0805369127516777,0.5250744673716659
2.0770519262981573,0.5238234687991078
2.0735785953177257,0.5228551467785609
2.0701168614357264,0.5218249359809154
2.066666666666667,0.5202531558317193
2.0632279534109816,0.5191396735262219
2.0598006644518274,0.5181738843346838
2.056384742951907,0.5182733680984983
2.052980132450331,0.5179774071993604
2.049586776859504,0.5169688620152595
2.046204620462046,0.5160561960474651
2.042833607907743,0.5151613677556726
2.039473684210526,0.5140727205865269
2.0361247947454846,0.5125111371240307
2.0327868852459017,0.5112570709573496
2.0294599018003274,0.5106391004008922
2.026143790849673,0.509956212815657
2.0228384991843393,0.5094803342694817
2.019543973941368,0.5087209365297249
2.016260162601626,0.5078910594990123
2.012987012987013,0.5072993819450091
2.0097244732576987,0.5064165944232618
2.0064724919093853,0.5055535930814101
2.003231017770598,0.5046651028657836
2.0,0.5046700985521243
1.996779388083736,0.5043813594784519
1.9935691318327975,0.5038987329654148
1.9903691813804174,0.5032023813114098
1.9871794871794872,0.502744349042688
1.984,0.502240997863451
1.9808306709265175,0.5015768753375224
1.977671451355662,0.5007532570700598
1.9745222929936306,0.5001280926280613
1.971383147853736,0.49954828268644724
1.9682539682539681,0.4993458729824418
1.9651347068145801,0.4982206099584302
1.9620253164556962,0.49699528014000327
1.9589257503949447,0.4963565591041902
1.9558359621451105,0.495598951294573
1.952755905511811,0.49485462350988824
1.949685534591195,0.49379695546381774
1.946624803767661,0.49296037553248595
1.9435736677115987,0.49250849673834207
1.9405320813771518,0.4922069843549052
1.9375,0.4915212871368383
1.9344773790951637,0.4899095369385673
1.9314641744548287,0.48891553888680045
1.9284603421461897,0.488505212632577
1.9254658385093169,0.4880310587947313
1.9224806201550388,0.4873691123797485
1.9195046439628483,0.48662837599657816
1.9165378670788253,0.4866304619991372
1.9135802469135803,0.48607063459479743
1.9106317411402156,0.4853576114107335
1.9076923076923078,0.48478030712653997
1.9047619047619047,0.4837487535013819
1.901840490797546,0.48363163587159735
1.898928024502297,0.4830618388899742
1.8960244648318043,0.4826777158780995
1.8931297709923665,0.48201508397218823
1.8902439024390243,0.48160104879541343
1.887366818873668,0.4817416029615232
1.884498480243161,0.48093051703348433
1.881638846737481,0.48050097078585896
1.878787878787879,0.4802691946273043
1.8759455370650528,0.479894872434388
1.8731117824773413,0.47997404870309945
1.8702865761689291,0.4790665797547849
1.8674698795180722,0.47840474252270804
1.8646616541353382,0.4779558759012491
1.8618618618618619,0.4770913127576499
1.8590704647676162,0.47659473613800646
1.8562874251497006,0.4757169051939216
1.8535127055306428,0.4751674651197155
1.8507462686567164,0.47465065535975637
1.8479880774962743,0.474048903711075
1.8452380952380953,0.47340547292701896
1.8424962852897473,0.47235214882623444
1.8397626112759644,0.4717711502701558
1.837037037037037,0.47115754709725544
1.834319526627219,0.47027429313198477
1.8316100443131462,0.46958030184062227
1.8289085545722714,0.46884223718026946
1.8262150220913107,0.4685492398147468
1.8235294117647058,0.46850531817936636
1.8208516886930983,0.4679912641462767
1.8181818181818181,0.4676355456651806
1.8155197657393851,0.46713132071937724
1.8128654970760234,0.46643678093290275
1.8102189781021898,0.46590162973539107
1.8075801749271136,0.46546967353822366
1.8049490538573507,0.46505808542535854
1.802325581395349,0.4642945510853897
1.7997097242380262,0.4640452777763327
1.7971014492753623,0.46362207043061243
1.7945007235890014,0.4630056863557095
1.7919075144508672,0.46256477311402855
1.7893217893217894,0.46178446130084405
1.7867435158501441,0.4610839964513431
1.7841726618705036,0.4606621665243451
1.7816091954022988,0.46025881098242677
1.7790530846484935,0.45988160423273616
1.7765042979942693,0.45951411712744816
1.7739628040057225,0.45913992051873886
1.7714285714285714,0.45874258525878425
