==========
==========
F (Hz),Z,Theta,R,X,L,C
2.967878E+6,1.533000E-3,9.006333E+1,-2.000000E-6,1.533000E-3,NaN,NaN
3.440296E+6,1.777000E-3,9.007000E+1,-2.000000E-6,1.777000E-3,NaN,NaN
3.987911E+6,2.058333E-3,9.007667E+1,-3.000000E-6,2.058333E-3,NaN,NaN
4.622695E+6,2.385000E-3,9.007667E+1,-3.000000E-6,2.384667E-3,NaN,NaN
5.358521E+6,2.762000E-3,9.008000E+1,-4.000000E-6,2.762000E-3,NaN,NaN
6.211474E+6,3.197667E-3,9.008333E+1,-4.333333E-6,3.198000E-3,NaN,NaN
7.200198E+6,3.700667E-3,9.008000E+1,-5.333333E-6,3.700667E-3,NaN,NaN
8.346303E+6,4.280000E-3,9.008000E+1,-6.000000E-6,4.280000E-3,NaN,NaN
9.674842E+6,4.945667E-3,9.007000E+1,-6.333333E-6,4.945333E-3,NaN,NaN
1.121485E+7,5.709000E-3,9.006333E+1,-6.000000E-6,5.708333E-3,NaN,NaN
1.300000E+7,6.580333E-3,9.003333E+1,-3.333333E-6,6.580667E-3,NaN,NaN
