Energy (eV),Electroabsorption (mOD) - 300.0 V,Electroabsorption (mOD) - 250.0 V,Electroabsorption (mOD) - 200.0 V,Electroabsorption (mOD) - 150.0 V,Electroabsorption (mOD) - 100.0 V
3.0097087378640777,-0.12254812326827441,-0.08642923169205054,-0.05927467715757177,-0.030070791721067268,-0.012144757582083636
3.002421307506053,-0.0962128931767544,-0.07242486729790143,-0.036814389038159194,-0.024301261139507608,-0.011335044420840388
2.995169082125604,-0.06257631066969482,-0.04972247633681603,-0.026024992235869213,-0.019068803015176748,-0.0026406422583596313
2.9879518072289155,-0.034703605482020956,-0.024297474711367402,-0.016107220291225792,-0.007634493100907593,0.006270440292022357
2.980769230769231,0.005064663307275589,0.010274712279729101,0.0014457979096137296,0.0036356919952622332,0.002496844945185611
2.973621103117506,0.01666320116281929,0.017896494726847224,0.012342627203931771,0.011707361090779323,-0.0012476198850807424
2.9665071770334928,0.04430338361905368,0.0420500170501328,0.022642696813328457,0.020275317835040343,0.01115977498644827
2.9594272076372317,0.06348480821997138,0.05373957481091228,0.03615250723380337,0.03069655047802398,0.01138452963960514
2.9523809523809526,0.06717349512846243,0.05767901220737023,0.043051918528582304,0.032194534585880674,0.010804627331718952
2.9453681710213777,0.06613983045421389,0.05438146610912997,0.03715201327538174,0.022309215754169224,0.012735583957547458
2.938388625592417,0.05361944879363839,0.045662915115907234,0.02969387180981127,0.02287199294234119,0.011701176739745231
2.9314420803782504,0.028289668018742373,0.024357355622588287,0.017025119142161635,0.013486219021103661,0.008755676436170017
2.9245283018867925,-0.007359703167887859,-0.005810493364731236,0.0015022059819479745,0.002088587692393791,0.003925778853953111
2.9176470588235293,-0.051215170115144225,-0.03666561273601234,-0.012694304222694686,-0.008479595309787749,-0.00199508026164857
2.9107981220657275,-0.09926048732292635,-0.08109479614867415,-0.04276418714379211,-0.027615848293297787,-0.008378782453722313
2.9039812646370025,-0.14417843914885792,-0.11604538128383797,-0.07341042562308685,-0.048384833303764814,-0.016356955940882163
2.897196261682243,-0.1896219548409523,-0.1515985238313869,-0.10000553617623356,-0.06430046446898427,-0.01815980216223809
2.8904428904428903,-0.23124533613775242,-0.18949370797815196,-0.12008788757802791,-0.07907573454126425,-0.02708022581574207
2.883720930232558,-0.2565010996183415,-0.20462326713146375,-0.1374229026760575,-0.08654142607789801,-0.03591515495318187
2.8770301624129933,-0.2576382605206114,-0.21402895062953733,-0.142358024485329,-0.0970315206281748,-0.04472016899397569
2.8703703703703702,-0.2320466895787706,-0.20396532818418536,-0.13487075871453033,-0.095230104907832,-0.04004509652631966
2.863741339491917,-0.1833187023644566,-0.16231518689587307,-0.10373505948827216,-0.08011809628003029,-0.030911046286341698
2.857142857142857,-0.09940553719375728,-0.09686355354103775,-0.06803947541413155,-0.050676409010993115,-0.018186727859957685
2.8505747126436782,0.013566771529295302,-0.0059032883474634335,-0.01101745494573218,-0.011545000151891515,-0.004364259160377362
2.8440366972477062,0.14560333880601636,0.1014685973778278,0.05619464808897288,0.03451443352283522,0.01429348155256663
2.8375286041189933,0.34346937483753265,0.22186522287632104,0.1645629986808107,0.09185134988894397,0.03362512373192347
2.8310502283105023,0.466934997814695,0.36759313792332005,0.2552976775680262,0.15169863682051546,0.0459959658175045
2.8246013667425967,0.6186255356595549,0.4948493966220257,0.31739473859213857,0.1995921071166464,0.08437958168393958
2.8181818181818183,0.7519808118261673,0.595283554258268,0.4046582636602959,0.2616123142258166,0.11980023785952655
2.811791383219955,0.8537568708064125,0.6721355574972793,0.4552012485138853,0.3016716590926358,0.13085891787256557
2.8054298642533935,0.9030956380476014,0.7250988449275054,0.49116965699451,0.3260607911478949,0.1340722205021013
2.799097065462754,0.9320007295897418,0.7419446872516916,0.4958809205886991,0.3293991850942951,0.13796294620481922
2.7927927927927927,0.9141965153238556,0.7282899758482161,0.4837263385716608,0.3256408212627797,0.13964239285245234
2.7865168539325844,0.848588336747674,0.6793478760264993,0.45592363615308024,0.30177422335341386,0.13464080288562036
2.780269058295964,0.7545507343576702,0.6058955452476616,0.4046700686540983,0.26857050629718215,0.1261290673614835
2.7740492170022373,0.6543302822889511,0.5112844906172723,0.3392397640753222,0.2348019305597533,0.10036669585878524
2.767857142857143,0.5201533421311417,0.40147702352918385,0.2709245015983008,0.18256714484428221,0.07672195195008753
2.7616926503340755,0.40417638440389353,0.32062497774291127,0.21185480068755927,0.14589980558070878,0.06268722667346648
2.7555555555555555,0.29305886638839557,0.22957427647787176,0.1556610161978608,0.10054815941788138,0.04602584644684243
2.7494456762749446,0.1952055512503976,0.143305714621696,0.09762753907947205,0.05954464170562791,0.025983259801675745
